a.j. cook
rebecca romijn
reese witherspoon
regina hall
renée zellweger
rhea seehorn
rhona mitra
rihanna
rita hayworth
rita ora
robin tunney
robin wright
rochelle aytes
ronda rousey
ronja forcher
rooney mara
rosamund pike
rosario dawson
rose byrne
rose leslie
rose mcgowan
rose mciver
roselyn sanchez
rosie huntington-whiteley
rosie jones
ruby o. fee
ruby rose
rumer willis
sabine jemeljanova
sabrina carpenter
sadie sink
saffron burrows
salma hayek
samantha mathis
samara weaving
sammi hanratty
sandra bullock
saoirse ronan
sara jean underwood
sara paxton
sara sampaio
sara underwood
sarah chalke
sarah gadon
sarah hyland
sarah lancaster
sarah mcdaniel
sarah michelle gellar
sarah paulson
sarah roemer
sarah shahi
sarah silverman
sasha alexander
sasha banks
sasha grey
saweetie
scarlett johansson
scarlett leithold
scout taylor-compton
selena gomez
selma blair
serena williams
seychelle gabriel
shailene woodley
shakira
shannon elizabeth
shannyn sossamon
shanola hampton
shantel vansanten
sharon stone
shawnee smith
shay mitchell
sheri moon zombie
shu qi
shyla stylez
sienna miller
sigrid agren
simone biles
sofia vergara
sofía vergara
sophia bush
sophia lillis
sophia loren
sophia thomalla
sophie marceau
sophie monk
sophie mudd
sophie turner
sophie winkleman
stacey dash
stacy keibler
stella maeve
stella maxwell
stephanie beatriz
stephanie fantauzzi
stephanie mcmahon
stephanie szostak
summer brielle
summer glau
sunny leone
susan coffey
susan sarandon
susan ward
sydney sweeney
sydney tamiia poitier
tamzin merchant
tanya mityushina
tara reid
tatyana kotova
taylor hill
taylor marie hill
taylor momsen
taylor schilling
taylor swift
teresa palmer
teri polo
tessa thompson
thandie newton
thandiwe newton
thomasin mckenzie
thora birch
tia carrere
tiera skovbye
tiffani thiessen
tina fey
tinashe
toni garrn
torrie wilson
tove lo
traci bingham
tracie thoms
tricia helfer
tyra banks
uma thurman
ursula andress
ursula corberó
valentina zelyaeva
vanessa angel
vanessa cage
vanessa ferlito
vanessa hessler
vanessa hudgens
vanessa kirby
vanessa lengies
vanessa williams
vera farmiga
veronica lake
vica kerekes
victoria de angelis
victoria justice
vinessa shaw
vivica a. fox
wendy moniz
whitney cummings
whitney port
willa fitzgerald
willa holland
winona ryder
xenia tchoumitcheva
yanet garcia
yulia rose
yvonne de carlo
yvonne strahovski
zara larsson
zazie beetz
zendaya
zhang ziyi
ziyi zhang
zoe saldana
zoey deutch
zooey deschanel
zoë bell
zoë kravitz
zulay henao
